metric,0,1,2,3,4
solved_rate:MultiGrid-SixteenRooms-v0,0.69,0.77,0.9,1.0,1.0
test_returns:MultiGrid-SixteenRooms-v0,0.40788,0.55222,0.65618,0.79291993,0.8323601
solved_rate:MultiGrid-SixteenRoomsFewerDoors-v0,1.0,0.12,0.7,0.08,0.77
test_returns:MultiGrid-SixteenRoomsFewerDoors-v0,0.76615995,0.07018,0.51308,0.04212,0.47619998
solved_rate:MultiGrid-Labyrinth-v0,0.09,0.0,1.0,1.0,0.17
test_returns:MultiGrid-Labyrinth-v0,0.02796,0.0,0.6937599,0.69619995,0.09944
solved_rate:MultiGrid-Labyrinth2-v0,0.69,0.0,1.0,0.73,0.28
test_returns:MultiGrid-Labyrinth2-v0,0.30677998,0.0,0.5703999,0.35164,0.20271999
solved_rate:MultiGrid-Maze-v0,0.11,0.01,0.97,0.08,1.0
test_returns:MultiGrid-Maze-v0,0.04926,0.00234,0.6921199,0.03652,0.66291994
solved_rate:MultiGrid-Maze2-v0,0.99,0.23,0.18,0.76,0.27
test_returns:MultiGrid-Maze2-v0,0.68119997,0.10386,0.13434,0.47122002,0.17012002
solved_rate:MultiGrid-Maze3-v0,0.53,0.0,1.0,0.94,1.0
test_returns:MultiGrid-Maze3-v0,0.25312,0.0,0.7065801,0.51896006,0.80853987
solved_rate:MiniGrid-SimpleCrossingS11N5-v0,0.87,0.67,0.15,0.26,0.88
test_returns:MiniGrid-SimpleCrossingS11N5-v0,0.7505455,0.52666944,0.10728719,0.1974091,0.7495
solved_rate:MiniGrid-FourRooms-v0,0.56,0.99,0.53,0.79,1.0
test_returns:MiniGrid-FourRooms-v0,0.50149995,0.75213,0.49220002,0.65194,0.79687
solved_rate:MultiGrid-SmallCorridor-v0,1.0,1.0,1.0,1.0,1.0
test_returns:MultiGrid-SmallCorridor-v0,0.87731993,0.84994006,0.75904,0.90188,0.83272
solved_rate:MultiGrid-LargeCorridor-v0,0.55,0.67,0.5,0.69,0.81
test_returns:MultiGrid-LargeCorridor-v0,0.439551,0.5837755,0.37883672,0.6237041,0.6459184
solved_rate:MultiGrid-PerfectMazeMedium-v0,0.5,0.46,0.78,0.3,0.2
test_returns:MultiGrid-PerfectMazeMedium-v0,0.47053063,0.3024286,0.62916327,0.2607857,0.1867755
